pair_id,group_id,split,arm,rule_id,gold,p
ge-trade-name,ge,dev,rich,legal_entity,True,0.94
ge-trade-name,ge,dev,rich,corporate_group,True,0.93
ge-trade-name,ge,dev,names_and_dates,legal_entity,True,0.23
ge-trade-name,ge,dev,names_and_dates,corporate_group,True,0.7
ge-units-before,ge,dev,rich,corporate_group,True,0.71
ge-units-before,ge,dev,rich,operating_business,False,0.03
ge-units-before,ge,dev,names_and_dates,corporate_group,True,0.61
ge-units-before,ge,dev,names_and_dates,operating_business,False,0.14
ge-companies-after,ge,dev,rich,legal_entity,False,0.06
ge-companies-after,ge,dev,rich,corporate_group,False,0.13
ge-companies-after,ge,dev,rich,operating_business,False,0.08
ge-companies-after,ge,dev,names_and_dates,legal_entity,False,0.24
ge-companies-after,ge,dev,names_and_dates,corporate_group,False,0.51
ge-companies-after,ge,dev,names_and_dates,operating_business,False,0.32
ge-energy-continuity,ge,dev,rich,corporate_group,False,0.38
ge-energy-continuity,ge,dev,rich,operating_business,True,0.81
ge-energy-continuity,ge,dev,names_and_dates,corporate_group,False,0.8
ge-energy-continuity,ge,dev,names_and_dates,operating_business,True,0.38
ge-aviation-continuity,ge,dev,rich,corporate_group,True,0.88
ge-aviation-continuity,ge,dev,rich,operating_business,True,0.59
ge-aviation-continuity,ge,dev,names_and_dates,corporate_group,True,0.89
ge-aviation-continuity,ge,dev,names_and_dates,operating_business,True,0.66
nummi-tesla-site,tesla,dev,rich,legal_entity,False,0.03
nummi-tesla-site,tesla,dev,rich,corporate_group,False,0.07
nummi-tesla-site,tesla,dev,rich,physical_site,True,0.66
nummi-tesla-site,tesla,dev,rich,operating_business,False,0.13
nummi-tesla-site,tesla,dev,names_and_dates,legal_entity,False,0.08
nummi-tesla-site,tesla,dev,names_and_dates,corporate_group,False,0.21
nummi-tesla-site,tesla,dev,names_and_dates,physical_site,True,0.55
nummi-tesla-site,tesla,dev,names_and_dates,operating_business,False,0.31
hp-rename,hp,test,rich,legal_entity,True,0.94
hp-rename,hp,test,rich,corporate_group,True,0.82
hp-rename,hp,test,names_and_dates,legal_entity,True,0.57
hp-rename,hp,test,names_and_dates,corporate_group,True,0.56
hp-enterprise-transfer,hp,test,rich,corporate_group,False,0.5
