pair_id,group_id,split,arm,rule_id,gold,p
ge-trade-name,ge,dev,identity,legal_entity,True,
ge-trade-name,ge,dev,identity,corporate_group,True,
ge-trade-name,ge,dev,rule,legal_entity,True,
ge-trade-name,ge,dev,rule,corporate_group,True,
ge-units-before,ge,dev,identity,corporate_group,True,
ge-units-before,ge,dev,identity,operating_business,False,
ge-units-before,ge,dev,rule,corporate_group,True,
ge-units-before,ge,dev,rule,operating_business,False,
ge-companies-after,ge,dev,identity,legal_entity,False,
ge-companies-after,ge,dev,identity,corporate_group,False,
ge-companies-after,ge,dev,identity,operating_business,False,
ge-companies-after,ge,dev,rule,legal_entity,False,
ge-companies-after,ge,dev,rule,corporate_group,False,
ge-companies-after,ge,dev,rule,operating_business,False,
ge-energy-continuity,ge,dev,identity,corporate_group,False,
ge-energy-continuity,ge,dev,identity,operating_business,True,
ge-energy-continuity,ge,dev,rule,corporate_group,False,
ge-energy-continuity,ge,dev,rule,operating_business,True,
ge-aviation-continuity,ge,dev,identity,corporate_group,True,
ge-aviation-continuity,ge,dev,identity,operating_business,True,
ge-aviation-continuity,ge,dev,rule,corporate_group,True,
ge-aviation-continuity,ge,dev,rule,operating_business,True,
nummi-tesla-site,tesla,dev,identity,legal_entity,False,
nummi-tesla-site,tesla,dev,identity,corporate_group,False,
nummi-tesla-site,tesla,dev,identity,physical_site,True,
nummi-tesla-site,tesla,dev,identity,operating_business,False,
nummi-tesla-site,tesla,dev,rule,legal_entity,False,
nummi-tesla-site,tesla,dev,rule,corporate_group,False,
nummi-tesla-site,tesla,dev,rule,physical_site,True,
nummi-tesla-site,tesla,dev,rule,operating_business,False,
kellogg-rename,kellogg,test,identity,legal_entity,True,0.94
kellogg-rename,kellogg,test,identity,corporate_group,True,0.89
kellogg-rename,kellogg,test,rule,legal_entity,True,0.94
kellogg-rename,kellogg,test,rule,corporate_group,True,0.91
kellogg-companies-after,kellogg,test,identity,legal_entity,False,0.06
kellogg-companies-after,kellogg,test,identity,corporate_group,False,0.12
kellogg-companies-after,kellogg,test,identity,operating_business,False,0.09
kellogg-companies-after,kellogg,test,rule,legal_entity,False,0.04
kellogg-companies-after,kellogg,test,rule,corporate_group,False,0.15
kellogg-companies-after,kellogg,test,rule,operating_business,False,0.16
kellogg-business-transfer,kellogg,test,identity,corporate_group,False,0.2
