assignee_id,assignee,state
A001,IBM,NY
A002,International Business Machines Corporation,NY
A003,General Electric Company,NY
A004,3M Company,MN
A005,Minnesota Mining and Manufacturing Company,MN
A006,Abbott Labs,IL
A007,Exxon Research and Engineering Co.,NJ
A008,Pfizer Incorporated,NY
A009,Corning Glass Works,NY
A010,Pratt & Whitney (United Technologies),CT
A011,The Boeing Company,WA
A012,Ford Global Technologies,MI
A013,Westinghouse Air Brake Company,PA
A014,General Electrodynamics Corp,TX
A015,Rockwell Automation,WI
A016,Abbott Ball Company,CT
